subject,intelligence_composite,self_identifiability,identified_correctly
0,0.2420,0.4651,0
1,1.1478,9.2129,1
2,0.6684,7.3211,1
3,-1.3659,5.4661,1
4,-0.2794,7.3760,1
5,0.1737,8.4339,1
6,0.0910,5.9138,1
7,-1.5015,9.5775,1
8,0.1891,7.3001,1
9,-1.4054,4.5143,1
10,0.2106,10.9543,1
11,0.9450,4.6113,0
12,-0.0460,11.8526,1
13,-0.0180,1.3900,0
14,-0.9456,8.7395,1
15,0.3204,7.3360,1
16,-0.1482,8.7924,1
17,-0.8770,5.5817,1
18,-0.0705,11.3356,1
19,0.5150,1.5593,0
20,-0.7243,8.8203,1
21,0.2712,6.8216,1
22,0.9265,3.6263,1
23,-0.7067,5.2217,1
24,1.0924,9.2748,1
25,-0.2995,8.5233,1
26,0.3858,7.0675,1
27,0.9357,5.7365,1
28,0.8159,8.6969,1
29,-1.1023,5.7304,1
30,-1.0424,5.1367,1
31,-0.9323,6.1964,1
32,-0.6645,4.7568,1
33,0.6499,8.0403,1
34,0.5117,4.4290,1
35,0.4379,9.0185,1
36,0.8344,7.5067,1
37,-1.0339,4.5718,1
38,0.0631,4.9856,1
39,-0.0552,7.5560,1
40,0.5655,1.0773,0
41,-0.0468,6.1430,1
42,0.3458,9.3836,1
43,0.3127,7.2989,1
44,-0.7479,9.0554,1
45,0.2336,10.6449,1
46,-0.2818,6.4920,1
47,0.4318,1.7018,0
48,-0.7566,7.4390,1
49,-0.0322,7.4016,1
50,0.5624,9.7963,1
51,0.0039,6.7746,1
52,0.5486,10.2590,1
53,0.6592,11.6823,1
54,-0.3596,11.0543,1
55,0.5486,8.8441,1
56,-0.6222,9.3444,1
57,0.3135,5.1080,1
58,0.6131,0.7975,0
59,1.2261,9.6542,1
60,-0.4570,8.9333,1
61,-0.1092,10.4659,1
62,-1.3962,6.6465,1
63,-0.4332,6.4163,1
64,0.5186,7.3673,1
65,-0.1767,8.6432,1
66,0.8712,7.9271,1
67,-1.4111,5.5447,1
68,-0.4715,9.1785,1
69,0.7606,0.8023,0
70,-0.0521,10.3151,1
71,-0.4944,6.9754,1
72,0.4964,5.6430,1
73,-0.3779,5.0458,1
74,0.9588,5.6621,1
75,-0.1804,5.5134,1
76,0.1283,8.8997,1
77,-0.6076,9.0326,1
78,-1.3651,7.3037,1
79,0.4011,6.4389,1
80,0.0231,6.5822,1
81,-0.2075,6.7661,1
82,0.2429,6.1083,1
83,0.9160,4.7218,1
84,0.3834,5.9880,1
85,0.6579,9.2002,1
86,-0.4171,6.6520,1
87,-0.1303,5.9155,1
88,-0.6959,11.3462,1
89,0.6487,2.6961,0
90,0.0660,14.9841,1
91,0.2213,10.0407,1
92,0.1875,8.2525,1
93,0.9265,6.7958,1
94,0.5763,7.8361,1
95,-0.2995,7.1099,1
96,0.4149,8.8578,1
97,-0.1528,16.5363,1
98,0.5440,9.2769,1
99,0.6039,11.8646,1
100,0.5993,9.0959,1
101,0.0684,7.9115,1
102,-0.8810,7.7885,1
103,1.2261,8.1628,1
104,0.6164,10.5363,1
105,0.3074,7.9360,1
106,0.4049,10.2919,1
107,0.7375,7.0788,1
108,1.2261,8.2535,1
109,-0.9968,8.4178,1
110,-0.1981,3.9779,1
111,0.4064,7.4961,1
112,0.2291,6.9686,1
113,0.1048,9.7751,1
114,1.0371,9.0743,1
115,-1.2625,14.0529,1
116,0.2901,4.5067,0
117,0.0579,12.9936,1
118,1.0371,12.7767,1
119,0.3765,9.9272,1
120,-1.5909,8.4936,1
121,-1.3097,3.4153,0
122,-0.1517,7.3183,1
123,-0.7558,9.0876,1
124,-0.4377,7.2266,1
125,-0.0750,5.3855,1
126,0.3688,3.9981,0
127,0.0541,8.5728,1
128,0.8251,11.2041,1
129,-0.3180,7.8486,1
130,-0.5313,8.6566,1
131,-0.1812,5.2473,1
132,0.5708,7.4719,1
133,0.8942,7.8156,1
134,1.2261,7.2453,1
135,0.1713,8.9867,1
136,1.1155,7.6728,1
137,-0.1796,6.3347,1
138,0.3227,7.0913,1
139,1.0602,5.3444,1
140,-0.4570,7.9262,1
141,-0.9439,9.3141,1
142,-1.1321,6.5667,1
143,-0.5695,4.9651,1
144,0.6669,7.6127,1
145,0.0530,9.6286,1
146,0.8574,8.0410,1
147,-0.6637,1.8451,0
148,-0.7420,8.4553,1
149,-0.0652,6.2101,1
150,-0.5990,10.2246,1
151,-0.2212,6.0933,1
152,-0.3548,7.4251,1
153,0.4505,5.3782,1
154,-0.2627,10.7809,1
155,-1.0186,7.5938,1
156,-1.5310,6.8323,1
157,-1.3336,9.4113,1
158,1.2492,11.5382,1
159,-0.8718,-0.5766,0
160,-0.2680,4.4635,1
161,-0.8365,6.1942,1
162,0.6340,7.7834,1
163,0.7617,10.7448,1
164,-0.6322,6.9925,1
165,0.4274,3.0263,0
166,1.1280,5.4264,1
167,0.8804,2.2935,0
168,1.0924,7.1831,1
169,0.5242,9.0850,1
170,0.4149,4.4909,1
171,-1.4749,1.7401,0
172,-0.6307,4.8321,1
173,-0.7474,8.2268,1
174,-0.5354,9.4196,1
175,0.0692,5.6458,1
176,0.6454,7.4570,1
177,-0.4070,10.2317,1
178,-0.8688,9.8776,1
179,-0.3464,4.1586,1
180,-0.2765,6.1062,1
181,0.7375,5.9565,1
182,0.1007,9.6602,1
183,-1.1293,8.1796,1
184,-0.7090,6.2962,1
185,0.9173,7.6287,1
186,-0.0229,7.4528,1
187,0.6188,4.5023,1
188,-0.7336,5.4024,1
189,1.1385,7.0423,1
190,0.9357,8.1113,1
191,-0.7021,6.6218,1
192,0.0369,9.9772,1
193,0.9911,7.5813,1
194,-0.7013,5.3540,1
195,0.5163,7.5694,1
