region,network,x,y,z,accuracy,idiff
R_V1,Visual1,13.887,-79.370,2.955,0.4204,0.15966
R_MST,Visual2,43.311,-65.464,3.659,0.6018,0.39371
R_V6,Visual2,17.078,-76.274,28.453,0.4823,0.24670
R_V2,Visual2,13.893,-79.529,3.723,0.4602,0.22771
R_V3,Visual2,19.741,-85.705,6.250,0.3835,0.15033
R_V4,Visual2,29.711,-82.541,-1.277,0.4159,0.13611
R_V8,Visual2,31.210,-72.263,-12.862,0.4499,0.16738
R_4,Somatomotor,28.232,-17.791,53.604,0.5177,0.27651
R_3b,Somatomotor,35.839,-22.864,50.965,0.5442,0.31688
R_FEF,Cingulo-Oper,40.910,-2.814,48.778,0.5619,0.32026
R_PEF,Language,44.179,1.843,35.286,0.5487,0.33899
R_55b,Default,46.775,1.336,44.429,0.5369,0.29382
R_V3A,Visual2,16.942,-87.154,26.603,0.4971,0.25965
R_RSC,Frontopariet,6.130,-34.591,21.694,0.5914,0.38839
R_POS2,Frontopariet,11.863,-69.054,36.231,0.4676,0.21197
R_V7,Visual2,25.192,-80.886,29.840,0.4808,0.19740
R_IPS1,Visual2,25.106,-67.630,35.069,0.4690,0.19058
R_FFC,Visual2,39.901,-55.205,-18.457,0.6047,0.38768
R_V3B,Visual2,28.715,-75.259,19.568,0.4513,0.19800
R_LO1,Visual2,37.846,-82.384,3.456,0.5723,0.32975
R_LO2,Visual2,43.854,-81.564,-5.214,0.5531,0.27615
R_PIT,Visual2,42.428,-79.092,-13.511,0.5575,0.27725
R_MT,Visual2,46.174,-71.354,5.914,0.6165,0.42140
R_A1,Auditory,43.897,-23.417,9.654,0.4617,0.15761
R_PSL,Default,60.848,-38.675,21.156,0.6121,0.41492
R_SFL,Default,8.946,15.959,62.293,0.5811,0.33969
R_PCV,Dorsal-atten,7.151,-52.277,48.623,0.4926,0.19223
R_STV,Default,55.861,-42.648,15.238,0.6121,0.41312
R_7Pm,Frontopariet,6.585,-65.359,48.635,0.5088,0.25172
R_7m,Posterior-Mu,6.021,-59.988,35.020,0.4823,0.24986
R_POS1,Posterior-Mu,11.919,-57.467,15.082,0.6195,0.43102
R_23d,Posterior-Mu,3.641,-22.457,38.249,0.4838,0.23473
R_v23ab,Posterior-Mu,5.102,-53.057,19.288,0.5324,0.28702
R_d23ab,Posterior-Mu,3.830,-39.897,31.839,0.4543,0.15136
R_31pv,Posterior-Mu,9.570,-44.663,33.271,0.5059,0.22961
R_5m,Somatomotor,5.735,-37.764,63.252,0.5398,0.27804
R_5mv,Cingulo-Oper,13.720,-38.873,50.991,0.4646,0.15175
R_23c,Cingulo-Oper,12.177,-32.162,41.728,0.4543,0.22762
